site_id,site_name,estimated_materials_cost,actual_materials_cost,estimated_labor_cost,actual_labor_cost,estimated_duration_days,actual_duration_days
S001,Downtown Plaza,45000,47500,32000,34500,90,95
S002,Harbor View Complex,78000,82000,56000,59000,120,125
S003,Westside Mall,120000,115000,85000,82000,150,145
S004,Riverside Tower,95000,102000,68000,73000,110,118
S005,Central Park Building,62000,64500,44000,46000,100,105
S006,Northgate Office,88000,95000,63000,68000,130,140
S007,Southpoint Retail,54000,56000,38000,40000,85,88
S008,Eastside Warehouse,71000,74000,51000,53500,95,98
S009,Hilltop Residence,43000,45000,31000,32500,80,85
S010,Lakefront Villa,67000,72000,48000,52000,105,112
S011,Mountain View Estate,91000,88000,65000,62000,125,120
S012,Sunset Boulevard,58000,61000,41000,43500,92,97
S013,Ocean Drive Complex,105000,112000,75000,81000,140,150
S014,Valley Creek Center,76000,79000,54000,57000,108,113
S015,Pine Ridge Office,49000,51500,35000,37000,87,90
S016,Maple Street Building,83000,87000,59000,62500,115,120
S017,Oak Lane Plaza,64000,66500,46000,48000,98,102
S018,Cedar Point Tower,97000,103000,69000,74000,128,135
S019,Birch Grove Mall,72000,75000,52000,54500,102,107
S020,Willow Park Complex,55000,57500,39000,41000,89,93
S021,Elm Avenue Center,86000,90000,61000,64500,118,125
S022,Spruce Hill Office,61000,64000,43000,45500,94,99
S023,Aspen Heights Building,99000,96000,71000,68000,132,128
S024,Redwood Valley Plaza,68000,71000,49000,51500,100,105
S025,Cypress Bay Tower,81000,85000,58000,61000,112,118
S026,Juniper Creek Mall,57000,59500,40000,42000,90,94
S027,Sequoia Ridge Complex,93000,98000,66000,70000,122,130
S028,Magnolia Street Center,66000,69000,47000,49500,97,102
S029,Poplar Lane Office,74000,77500,53000,55500,106,111
S030,Sycamore Point Plaza,52000,54500,37000,39000,86,90
S031,Chestnut Grove Building,89000,93000,63000,66500,119,126
S032,Hickory Ridge Tower,63000,66000,45000,47500,96,101
S033,Walnut Valley Mall,101000,107000,72000,77000,135,143
S034,Beech Creek Complex,70000,73500,50000,52500,103,108
S035,Fir Hill Office,48000,50500,34000,36000,84,88
S036,Cherry Lane Plaza,85000,89000,60000,63500,116,122
S037,Pecan Street Center,59000,62000,42000,44000,93,98
S038,Cottonwood Tower,96000,100000,68000,72000,127,134
S039,Dogwood Bay Building,73000,76500,52000,54500,104,109
S040,Laurel Point Mall,56000,58500,40000,42000,91,95
S041,Hemlock Ridge Complex,87000,91500,62000,65500,117,124
S042,Alder Valley Office,65000,68000,46000,48500,99,104
S043,Basswood Creek Plaza,98000,102000,70000,73500,129,136
S044,Ironwood Street Tower,69000,72000,49000,51500,101,106
S045,Locust Hill Center,80000,84000,57000,60000,113,119
S046,Mesquite Bay Building,54000,56500,38000,40000,88,92
S047,Persimmon Ridge Mall,92000,96500,65000,68500,121,128
S048,Sumac Valley Office,62000,65000,44000,46500,95,100
S049,Tamarack Point Plaza,77000,81000,55000,58000,109,115
S050,Yew Creek Complex,51000,53500,36000,38000,85,89
S051,Banyan Street Tower,88000,92500,62000,65500,118,125
S052,Catalpa Grove Center,60000,63000,43000,45000,94,99
S053,Hawthorn Bay Building,100000,105000,71000,75500,133,141
