--- Project Cost Summary Report ---

Sites Over Budget:
                       site_name  estimated_total_cost  actual_total_cost  cost_overrun
0                 Downtown Plaza                 77000              82000          5000
1            Harbor View Complex                134000             141000          7000
3                Riverside Tower                163000             175000         12000
4          Central Park Building                106000             110500          4500
5               Northgate Office                151000             163000         12000
6              Southpoint Retail                 92000              96000          4000
7             Eastside Warehouse                122000             127500          5500
8              Hilltop Residence                 74000              77500          3500
9                Lakefront Villa                115000             124000          9000
11              Sunset Boulevard                 99000             104500          5500
12           Ocean Drive Complex                180000             193000         13000
13           Valley Creek Center                130000             136000          6000
14             Pine Ridge Office                 84000              88500          4500
15         Maple Street Building                142000             149500          7500
16                Oak Lane Plaza                110000             114500          4500
17             Cedar Point Tower                166000             177000         11000
18              Birch Grove Mall                124000             129500          5500
19           Willow Park Complex                 94000              98500          4500
20             Elm Avenue Center                147000             154500          7500
21            Spruce Hill Office                104000             109500          5500
23          Redwood Valley Plaza                117000             122500          5500
24             Cypress Bay Tower                139000             146000          7000
25            Juniper Creek Mall                 97000             101500          4500
26         Sequoia Ridge Complex                159000             168000          9000
27        Magnolia Street Center                113000             118500          5500
28            Poplar Lane Office                127000             133000          6000
29          Sycamore Point Plaza                 89000              93500          4500
30       Chestnut Grove Building                152000             159500          7500
31           Hickory Ridge Tower                108000             113500          5500
32            Walnut Valley Mall                173000             184000         11000
33           Beech Creek Complex                120000             126000          6000
34               Fir Hill Office                 82000              86500          4500
35             Cherry Lane Plaza                145000             152500          7500
36           Pecan Street Center                101000             106000          5000
37              Cottonwood Tower                164000             172000          8000
38          Dogwood Bay Building                125000             131000          6000
39             Laurel Point Mall                 96000             100500          4500
40         Hemlock Ridge Complex                149000             157000          8000
41           Alder Valley Office                111000             116500          5500
42          Basswood Creek Plaza                168000             175500          7500
43         Ironwood Street Tower                118000             123500          5500
44            Locust Hill Center                137000             144000          7000
45         Mesquite Bay Building                 92000              96500          4500
46          Persimmon Ridge Mall                157000             165000          8000
47           Sumac Valley Office                106000             111500          5500
48          Tamarack Point Plaza                132000             139000          7000
49             Yew Creek Complex                 87000              91500          4500
50           Banyan Street Tower                150000             158000          8000
51          Catalpa Grove Center                103000             108000          5000
52         Hawthorn Bay Building                171000             180500          9500
53              Larch Ridge Mall                122000             128000          6000
54          Mimosa Valley Office                 80000              84500          4500
55              Rowan Hill Plaza                143000             150500          7500
56          Tupelo Point Complex                 99000             104500          5500
57           Buckeye Creek Tower                162000             170500          8500
58          Ginkgo Street Center                123000             129000          6000
59           Linden Bay Building                 94000              98500          4500
60             Acacia Ridge Mall                147000             155000          8000
61       Jacaranda Valley Office                109000             114500          5500
62          Mahogany Grove Plaza                166000             174000          8000
63             Teak Hill Complex                116000             122000          6000
64            Bamboo Point Tower                135000             142000          7000
65            Ebony Creek Center                 90000              94500          4500
66    Sandalwood Street Building                155000             163000          8000
67             Rosewood Bay Mall                104000             109500          5500
68            Teak Valley Office                129000             135000          6000
69         Zebrawood Ridge Plaza                 85000              89500          4500
70            Boxwood Hill Tower                148000             155500          7500
71          Lignum Point Complex                107000             112500          5500
72        Butternut Creek Center                169000             177500          8500
73        Myrtle Street Building                120000             126000          6000
74                Olive Bay Mall                 78000              82500          4500
75           Sapele Ridge Office                141000             148500          7500
